Item,Skill_req,Level,Slot,Craft_loot,Quality,Item_type,Attribute,Boost,Type_boost,Skill_boost,Note
Axe of Destruction,Woodcutting,44,Tool,Loot,,Woodcutting Hatchet,Work Efficiency,35,Percentage,Woodcutting,While doing  Woodcutting
Axe of Destruction,Woodcutting,44,Tool,Loot,,Woodcutting Hatchet,Double Action,6,Percentage,Woodcutting,While doing  Woodcutting
Axe of Destruction,Woodcutting,44,Tool,Loot,,Woodcutting Hatchet,Double Rewards,4,Percentage,Woodcutting,While doing  Woodcutting
Axe of Destruction,Woodcutting,44,Tool,Loot,,Woodcutting Hatchet,Fine Material Finding,22,Percentage,Woodcutting,While doing  Woodcutting
Axe of Destruction,Woodcutting,44,Tool,Loot,,Woodcutting Hatchet,Find Bird Nests,12,Percentage,Woodcutting,While doing  Woodcutting
Axe of Destruction,Woodcutting,44,Tool,Loot,,Woodcutting Hatchet,Chance to Find Adventurers' Guild Token,2,Percentage,,Global   1  Adventurers' Guild Token
Big Basket,Foraging,28,Tool,Loot,,,Inventory Space,2,Flat,Global,Global
Big Basket,Foraging,28,Tool,Loot,,,Double Rewards,5,Percentage,Foraging,While doing  Foraging
Blacksmithing Guidebook,Smithing,30,Tool,Loot,,,Work Efficiency,-10,Percentage,Smithing,While doing  Smithing
Blacksmithing Guidebook,Smithing,30,Tool,Loot,,,Double Action,16,Percentage,Smithing,While doing  Smithing
Blue Ice Sickle,Foraging,40,Tool,Loot,,"Foraging Tool, Sickle",Work Efficiency,40,Percentage,Foraging,While doing  Foraging
Blue Ice Sickle,Foraging,40,Tool,Loot,,"Foraging Tool, Sickle",Double Action,10,Percentage,Foraging,While doing  Foraging
Blue Ice Sickle,Foraging,40,Tool,Loot,,"Foraging Tool, Sickle",Double Rewards,10,Percentage,Foraging,While doing  Foraging
Blue Ice Sickle,Foraging,40,Tool,Loot,,"Foraging Tool, Sickle",Fine Material Finding,10,Percentage,Foraging,While doing  Foraging
Blue Ice Sickle,Foraging,40,Tool,Loot,,"Foraging Tool, Sickle",Chest Finding,10,Percentage,Foraging,While doing  Foraging
Blue Ice Sickle,Foraging,40,Tool,Loot,,"Foraging Tool, Sickle",Bonus Experience,2,Percentage,Foraging,While doing  Foraging
Blue Ice Sickle,Foraging,40,Tool,Loot,,"Foraging Tool, Sickle",Steps Required,-5,Flat,Foraging,While doing  Foraging
Carving Knife,Crafting,18,Tool,Loot,,Knife,Work Efficiency,15,Percentage,Crafting,While doing  Crafting
Carving Knife,Crafting,18,Tool,Loot,,Knife,Chest Finding,15,Percentage,Crafting,While doing  Crafting
Clay Frisbee,Agility,1,Tool,Loot,,Frisbee,Chest Finding,2,Percentage,Global,Global
Crafting Guidebook,Crafting,30,Tool,Loot,,,Work Efficiency,-15,Percentage,Crafting,While doing  Crafting
Crafting Guidebook,Crafting,30,Tool,Loot,,,Crafting Outcome,20,Flat,Global,Global
Crafting Guidebook,Crafting,30,Tool,Loot,,,Double Rewards,10,Percentage,Crafting,While doing  Crafting
Crafting Guidebook,Crafting,30,Tool,Loot,,,Chest Finding,10,Percentage,Crafting,While doing  Crafting
Cutting Board,Cooking,13,Tool,Loot,,Cutting Board,Double Rewards,8,Percentage,Cooking,While doing  Cooking
Cutting Board,Cooking,13,Tool,Loot,,Cutting Board,Chest Finding,8,Percentage,Cooking,While doing  Cooking
Dull Chisel,Carpentry,7,Tool,Loot,,"Chisel, Carpentry Tool",Double Rewards,5,Percentage,Carpentry,While doing  Carpentry
Dull Chisel,Carpentry,7,Tool,Loot,,"Chisel, Carpentry Tool",No Materials Consumed,2,Percentage,Carpentry,While doing  Carpentry
Dull Knife,Cooking,5,Tool,Loot,,Cooking Knife,Work Efficiency,10,Percentage,Cooking,While doing  Cooking
Dull Knife,Cooking,5,Tool,Loot,,Cooking Knife,Double Action,2,Percentage,Cooking,While doing  Cooking
Dull Knife,Cooking,5,Tool,Loot,,Cooking Knife,Bonus Experience,1,Percentage,Cooking,While doing  Cooking
Dull Machete,Foraging,11,Tool,Loot,,Foraging Tool,Double Rewards,5,Percentage,Foraging,While doing  Foraging
Dull Machete,Foraging,11,Tool,Loot,,Foraging Tool,Fine Material Finding,15,Percentage,Foraging,While doing  Foraging
Dull Machete,Foraging,11,Tool,Loot,,Foraging Tool,Chest Finding,10,Percentage,Foraging,While doing  Foraging
Dull Machete,Foraging,11,Tool,Loot,,Foraging Tool,Find Collectibles,2,Percentage,Global,Global
Eberhart Corkscrew,Cooking,50,Tool,Loot,,,Bonus Experience,10,Percentage,Cooking,While doing  Cooking
Eberhart Corkscrew,Cooking,50,Tool,Loot,,,No Materials Consumed,10,Percentage,Cooking,While doing  Cooking
Eberhart Corkscrew,Cooking,50,Tool,Loot,,,Work Efficiency,5,Percentage,Cooking,While doing  Cooking
Fireflies in a Jar,Foraging,39,Tool,Loot,,Light Source,Chest Finding,15,Percentage,Foraging,While doing  Foraging
Fireflies in a Jar,Foraging,39,Tool,Loot,,Light Source,Chest Finding,15,Percentage,Agility,While doing  Agility
Fishing Guidebook,Fishing,30,Tool,Loot,,,Work Efficiency,-10,Percentage,Fishing,While doing  Fishing
Fishing Guidebook,Fishing,30,Tool,Loot,,,Double Action,16,Percentage,Fishing,While doing  Fishing
Fishing Lure,Fishing,10,Tool,Loot,,Fishing Lure,Work Efficiency,10,Percentage,Fishing,While doing  Fishing
Fishing Lure,Fishing,10,Tool,Loot,,Fishing Lure,Double Rewards,7,Percentage,Fishing,While doing  Fishing
Flippy Spatula,Cooking,15,Tool,Loot,,,Chest Finding,4,Percentage,Cooking,While doing  Cooking
Flippy Spatula,Cooking,15,Tool,Loot,,,Steps Required,-4,Flat,Cooking,While doing  Cooking
Flora's Silver Spoon,Cooking,1,Tool,Loot,,,Work Efficiency,3,Percentage,Cooking,While doing  Cooking
Flora's Silver Spoon,Cooking,1,Tool,Loot,,,No Materials Consumed,2,Percentage,Cooking,While doing  Cooking
Flora's Silver Spoon,Cooking,1,Tool,Loot,,,Chest Finding,1,Percentage,Cooking,While doing  Cooking
Flowing Pocketwatch,Agility,45,Tool,Loot,,,Steps Required,-1,Flat,Global,Global
Forge Bellows,Smithing,15,Tool,Loot,,,Work Efficiency,8,Percentage,Smithing,While doing  Smithing
Forge Bellows,Smithing,15,Tool,Loot,,,Double Rewards,3,Percentage,Smithing,While doing  Smithing
Forge Bellows,Smithing,15,Tool,Loot,,,Bonus Experience,1,Flat,Smithing,While doing  Smithing
Glowstick,Global,,Tool,Loot,,Light Source,Fine Material Finding,30,Percentage,Fishing,While doing  Fishing
Gold Pan,Fishing,13,Tool,Loot,,Gold Pan,Work Efficiency,4,Percentage,Mining,While doing  Mining
Gold Pan,Fishing,13,Tool,Loot,,Gold Pan,Work Efficiency,4,Percentage,Fishing,While doing  Fishing
Gold Pan,Fishing,13,Tool,Loot,,Gold Pan,Fine Material Finding,8,Percentage,Mining,While doing  Mining
Gold Pan,Fishing,13,Tool,Loot,,Gold Pan,Fine Material Finding,8,Percentage,Fishing,While doing  Fishing
Gold Pan,Fishing,13,Tool,Loot,,Gold Pan,Bonus Experience,4,Percentage,Mining,While doing  Mining
Gold Pan,Fishing,13,Tool,Loot,,Gold Pan,Bonus Experience,4,Percentage,Fishing,While doing  Fishing
Golden Frisbee,Agility,25,Tool,Loot,,Frisbee,Chest Finding,7,Percentage,Global,Global
Greedy Piggy Bank,Global,,Tool,Loot,,,Double Action,2,Percentage,Global,Global
Hand Lantern,Mining,10,Tool,Loot,,Light Source,Chest Finding,9,Percentage,Mining,While doing  Mining
Hand Lantern,Mining,10,Tool,Loot,,Light Source,Find Gems,7,Percentage,Mining,While doing  Mining
Handsaw,Carpentry,33,Tool,Loot,,"Carpentry Tool, Saw",Work Efficiency,25,Percentage,Carpentry,While doing  Carpentry
Handsaw,Carpentry,33,Tool,Loot,,"Carpentry Tool, Saw",Double Action,5,Percentage,Carpentry,While doing  Carpentry
Handsaw,Carpentry,33,Tool,Loot,,"Carpentry Tool, Saw",Double Rewards,5,Percentage,Carpentry,While doing  Carpentry
Handsaw,Carpentry,33,Tool,Loot,,"Carpentry Tool, Saw",Chest Finding,15,Percentage,Carpentry,While doing  Carpentry
Heavy Axe Handle,Woodcutting,43,Tool,Loot,,,Work Efficiency,-25,Percentage,Woodcutting,While doing  Woodcutting
Heavy Axe Handle,Woodcutting,43,Tool,Loot,,,Double Rewards,32,Percentage,Woodcutting,While doing  Woodcutting
Ice Axe,Woodcutting,10,Tool,Loot,,Woodcutting Hatchet,Fine Material Finding,100,Percentage,Woodcutting,While doing  Woodcutting While in  Jarvonia.
Ice Cutter,Carpentry,16,Tool,Loot,,Carpentry Tool,Work Efficiency,15,Percentage,Carpentry,While doing  Carpentry
Ice Cutter,Carpentry,16,Tool,Loot,,Carpentry Tool,No Materials Consumed,5,Percentage,Carpentry,While doing  Carpentry
Iron Thermos,Agility,15,Tool,Loot,,,Chest Finding,12,Percentage,Agility,While doing  Agility
Iron Thermos,Agility,15,Tool,Loot,,,Bonus Experience,5,Percentage,Agility,While doing  Agility
Jarvonian Smith's Hammer,Smithing,40,Tool,Loot,,Smithing Hammer,Work Efficiency,31,Percentage,Smithing,While doing  Smithing
Jarvonian Smith's Hammer,Smithing,40,Tool,Loot,,Smithing Hammer,Double Rewards,4,Percentage,Smithing,While doing  Smithing
Juggling Balls,Global,,Tool,Loot,,,Find Collectibles,5,Percentage,Global,Global
Large Pot,Cooking,20,Tool,Loot,,Cooking Pot,Bonus Experience,15,Percentage,Cooking,While doing  Cooking
Large Pot,Cooking,20,Tool,Loot,,Cooking Pot,Double Action,5,Percentage,Cooking,While doing  Cooking
Lava Cooking Pan,Cooking,55,Tool,Loot,,,No Materials Consumed,-20,Percentage,Cooking,While doing  Cooking
Lava Cooking Pan,Cooking,55,Tool,Loot,,,Double Rewards,-15,Percentage,Cooking,While doing  Cooking
Lava Cooking Pan,Cooking,55,Tool,Loot,,,Steps Required,-6,Flat,Cooking,While doing  Cooking
Log Basket,Woodcutting,13,Tool,Loot,,,Inventory Space,1,Flat,Global,Global
Log Basket,Woodcutting,13,Tool,Loot,,,Fine Material Finding,9,Percentage,Woodcutting,While doing  Woodcutting
Log Splitter,Woodcutting,35,Tool,Loot,,,Double Rewards,14,Percentage,Woodcutting,While doing  Woodcutting
Log Splitter,Woodcutting,35,Tool,Loot,,,Fine Material Finding,5,Percentage,Woodcutting,While doing  Woodcutting
Long Spade,Foraging,35,Tool,Loot,,,Work Efficiency,-9,Percentage,Foraging,While doing  Foraging
Long Spade,Foraging,35,Tool,Loot,,,Double Rewards,14,Percentage,Foraging,While doing  Foraging
Magnifying Lens,Crafting,36,Tool,Loot,,"Crafting Tool, Magnifying Lens",Crafting Outcome,12,Flat,Global,Global
Magnifying Lens,Crafting,36,Tool,Loot,,"Crafting Tool, Magnifying Lens",Double Action,5,Percentage,Crafting,While doing  Crafting
Map of GDTE,Agility,22,Tool,Loot,,Local Map,Double Action,15,Percentage,Traveling,While doing  Traveling While in  GDTE.
Map of Jarvonia,Agility,22,Tool,Loot,,Local Map,Double Action,15,Percentage,Traveling,While doing  Traveling While in  Jarvonia.
Meat Cleaver,Cooking,25,Tool,Loot,,"Cooking Tool, Cooking Knife",Work Efficiency,35,Percentage,Cooking,While doing  Cooking
Meat Cleaver,Cooking,25,Tool,Loot,,"Cooking Tool, Cooking Knife",Double Action,5,Percentage,Cooking,While doing  Cooking
Miner's Magnet,Mining,32,Tool,Loot,,Magnetic Item,Work Efficiency,8,Percentage,Mining,While doing  Mining
Miner's Magnet,Mining,32,Tool,Loot,,Magnetic Item,Fine Material Finding,28,Percentage,Mining,While doing  Mining
Mountaineering Guidebook,Agility,45,Tool,Loot,,,Work Efficiency,-10,Percentage,Agility,While doing  Agility
Mountaineering Guidebook,Agility,45,Tool,Loot,,,Double Action,5,Percentage,Agility,While doing  Agility
Mountaineering Guidebook,Agility,45,Tool,Loot,,,Double Rewards,5,Percentage,Agility,While doing  Agility
Mountaineering Guidebook,Agility,45,Tool,Loot,,,Chest Finding,20,Percentage,Agility,While doing  Agility
Mountaineering Guidebook,Agility,45,Tool,Loot,,,Bonus Experience,25,Percentage,Agility,While doing  Agility
Northern Spices,Cooking,30,Tool,Loot,,,Work Efficiency,5,Percentage,Cooking,While doing  Cooking
Northern Spices,Cooking,30,Tool,Loot,,,Double Action,5,Percentage,Cooking,While doing  Cooking
Northern Spices,Cooking,30,Tool,Loot,,,Chest Finding,5,Percentage,Cooking,While doing  Cooking
Omni-Tool,Global,,Tool,Loot,,,Chest Finding,8,Percentage,Global,Global
Omni-Tool,Global,,Tool,Loot,,,Chest Finding,8,Percentage,,Global  when  60 Achievement Points
Omni-Tool,Global,,Tool,Loot,,,Fine Material Finding,14,Percentage,,Global  when  80 Achievement Points
Omni-Tool,Global,,Tool,Loot,,,Find Collectibles,8,Percentage,,Global  when  100 Achievement Points
Omni-Tool,Global,,Tool,Loot,,,Double Rewards,2,Percentage,,Global  when  120 Achievement Points
Omni-Tool,Global,,Tool,Loot,,,Work Efficiency,2,Percentage,,Global  when  140 Achievement Points
Pointy Shears,Foraging,15,Tool,Loot,,,Double Rewards,2,Percentage,Foraging,While doing  Foraging
Pointy Shears,Foraging,15,Tool,Loot,,,Chest Finding,2,Percentage,Foraging,While doing  Foraging
Precise Ruler,Carpentry,18,Tool,Loot,,Ruler,Double Action,9,Percentage,Carpentry,While doing  Carpentry
Precise Ruler,Carpentry,18,Tool,Loot,,Ruler,No Materials Consumed,3,Percentage,Carpentry,While doing  Carpentry
Protractor,Carpentry,17,Tool,Loot,,,Work Efficiency,9,Percentage,Carpentry,While doing  Carpentry
Protractor,Carpentry,17,Tool,Loot,,,Double Rewards,4,Percentage,Carpentry,While doing  Carpentry
Recipe Book,Cooking,35,Tool,Loot,,,Work Efficiency,-12.5,Percentage,Cooking,While doing  Cooking
Recipe Book,Cooking,35,Tool,Loot,,,Double Action,18.5,Percentage,Cooking,While doing  Cooking
Recipe Book,Cooking,35,Tool,Loot,,,No Materials Consumed,7,Percentage,Cooking,While doing  Cooking
Rusty Spyglass,Global,,Tool,Loot,,,Work Efficiency,-2,Percentage,Global,Global
Rusty Spyglass,Global,,Tool,Loot,,,Fine Material Finding,20,Percentage,Global,Global
Screwdriver,Crafting,16,Tool,Loot,,"Screwdriver, Crafting Tool",Work Efficiency,9,Percentage,Crafting,While doing  Crafting
Sharp Chisel,Carpentry,27,Tool,Loot,,"Chisel, Carpentry Tool",Work Efficiency,18,Percentage,Carpentry,While doing  Carpentry
Sharp Chisel,Carpentry,27,Tool,Loot,,"Chisel, Carpentry Tool",No Materials Consumed,4,Percentage,Carpentry,While doing  Carpentry
Sharp Chisel,Carpentry,27,Tool,Loot,,"Chisel, Carpentry Tool",Chest Finding,5,Percentage,Carpentry,While doing  Carpentry
Sharp Chisel,Carpentry,27,Tool,Loot,,"Chisel, Carpentry Tool",Bonus Experience,2,Flat,Carpentry,While doing  Carpentry
Sharp Knife,Cooking,25,Tool,Loot,,Cooking Knife,Work Efficiency,23,Percentage,Cooking,While doing  Cooking
Sharp Knife,Cooking,25,Tool,Loot,,Cooking Knife,Double Action,4,Percentage,Cooking,While doing  Cooking
Sharp Knife,Cooking,25,Tool,Loot,,Cooking Knife,Bonus Experience,4,Percentage,Cooking,While doing  Cooking
Sharp Machete,Foraging,22,Tool,Loot,,Foraging Tool,Double Rewards,10,Percentage,Foraging,While doing  Foraging
Sharp Machete,Foraging,22,Tool,Loot,,Foraging Tool,Fine Material Finding,35,Percentage,Foraging,While doing  Foraging
Sharp Machete,Foraging,22,Tool,Loot,,Foraging Tool,Chest Finding,25,Percentage,Foraging,While doing  Foraging
Sharp Machete,Foraging,22,Tool,Loot,,Foraging Tool,Find Collectibles,4,Percentage,Global,Global
Shell Snatcher,Global,,Tool,Loot,,,Work Efficiency,12,Percentage,Foraging,While doing  Foraging
Shell Snatcher,Global,,Tool,Loot,,,Fine Material Finding,15,Percentage,Foraging,While doing  Foraging
Shell Snatcher,Global,,Tool,Loot,,,Chest Finding,15,Percentage,Foraging,While doing  Foraging
Shiny Spinner,Fishing,26,Tool,Loot,,Fishing Lure,Work Efficiency,15,Percentage,Fishing,While doing  Fishing
Shiny Spinner,Fishing,26,Tool,Loot,,Fishing Lure,Double Action,6,Percentage,Fishing,While doing  Fishing
Shiny Spinner,Fishing,26,Tool,Loot,,Fishing Lure,Fine Material Finding,15,Percentage,Fishing,While doing  Fishing
Shovel Axe,"Mining, Woodcutting","50, 50",Tool,Loot,,"Pickaxe, Woodcutting Hatchet",Work Efficiency,45,Percentage,Mining,While doing  Mining
Shovel Axe,"Mining, Woodcutting","50, 50",Tool,Loot,,"Pickaxe, Woodcutting Hatchet",Work Efficiency,45,Percentage,Woodcutting,While doing  Woodcutting
Shovel Axe,"Mining, Woodcutting","50, 50",Tool,Loot,,"Pickaxe, Woodcutting Hatchet",Bonus Experience,2,Flat,Mining,While doing  Mining
Shovel Axe,"Mining, Woodcutting","50, 50",Tool,Loot,,"Pickaxe, Woodcutting Hatchet",Bonus Experience,2,Flat,Woodcutting,While doing  Woodcutting
Shovel Axe,"Mining, Woodcutting","50, 50",Tool,Loot,,"Pickaxe, Woodcutting Hatchet",Find Gems,20,Percentage,Mining,While doing  Mining
Shovel Axe,"Mining, Woodcutting","50, 50",Tool,Loot,,"Pickaxe, Woodcutting Hatchet",Find Bird Nests,20,Percentage,Woodcutting,While doing  Woodcutting
Simple Bug Catching Net,Global,,Tool,Loot,,Bug Catching Net,Work Efficiency,4,Percentage,Foraging,While doing  Foraging
Simple Bug Catching Net,Global,,Tool,Loot,,Bug Catching Net,Bonus Experience,2,Percentage,Foraging,While doing  Foraging
Simple Chisel,Global,,Tool,Loot,,"Chisel, Carpentry Tool",Work Efficiency,9,Percentage,Carpentry,While doing  Carpentry
Simple Chisel,Global,,Tool,Loot,,"Chisel, Carpentry Tool",Bonus Experience,2,Percentage,Carpentry,While doing  Carpentry
Simple Gold Pan,Global,,Tool,Loot,,Gold Pan,Work Efficiency,2,Percentage,Mining,While doing  Mining
Simple Gold Pan,Global,,Tool,Loot,,Gold Pan,Work Efficiency,2,Percentage,Fishing,While doing  Fishing
Simple Gold Pan,Global,,Tool,Loot,,Gold Pan,Fine Material Finding,2,Percentage,Mining,While doing  Mining
Simple Gold Pan,Global,,Tool,Loot,,Gold Pan,Bonus Experience,2,Percentage,Fishing,While doing  Fishing
Simple Hammer,Smithing,12,Tool,Loot,,Smithing Hammer,Work Efficiency,9,Percentage,Smithing,While doing  Smithing
Simple Hammer,Smithing,12,Tool,Loot,,Smithing Hammer,Bonus Experience,2,Percentage,Smithing,While doing  Smithing
Simple Magnet,Global,,Tool,Loot,,Magnetic Item,Fine Material Finding,4,Percentage,Mining,While doing  Mining
Simple Magnet,Global,,Tool,Loot,,Magnetic Item,Work Efficiency,2,Percentage,Mining,While doing  Mining
Simple Mining Shovel,Mining,7,Tool,Loot,,,Work Efficiency,3,Percentage,Mining,While doing  Mining
Simple Mining Shovel,Mining,7,Tool,Loot,,,Fine Material Finding,9,Percentage,Mining,While doing  Mining
Simple Mining Shovel,Mining,7,Tool,Loot,,,Chest Finding,3,Percentage,Mining,While doing  Mining
Simple Pan,Global,,Tool,Loot,,Cooking Pan,Work Efficiency,9,Percentage,Cooking,While doing  Cooking
Simple Pan,Global,,Tool,Loot,,Cooking Pan,Bonus Experience,2,Percentage,Cooking,While doing  Cooking
Simple Ruler,Carpentry,11,Tool,Loot,,Ruler,Double Action,6,Percentage,Carpentry,While doing  Carpentry
Simple Ruler,Carpentry,11,Tool,Loot,,Ruler,No Materials Consumed,1,Percentage,Carpentry,While doing  Carpentry
Simple Saw,Global,,Tool,Loot,,"Saw, Carpentry Tool",Work Efficiency,9,Percentage,Carpentry,While doing  Carpentry
